ID;MATERIAL;DESCRIÇÃO;LOCAL
1;BATERIA 3 V;BATERIA DE LÍTIO 3V CR2032;DB-07
2;BZZ002;BUZZER SM 5VC (SONALARME);I.20 - VENDAS
3;BZZ004;BUZZER 1S-30V-LP;I.20 - VENDAS
4;BZZ006;BUZZER KEPO KPT-G2210B;I.20 - VENDAS
5;BZZ007;BUZZER SB3/30V SONALARME;OBSOL - A3
6;BZZ008;BUZZER;CE-01
7;CACLA-001;CHICOTE DE LIGAÇÃO E ALIMENTACAO MICRÓTOMO - C.ANT. LUPCLA REV1;H.27
8;CACLC-001;CHICOTE DE LIGAÇÃO E CONTROLE DRIVER - C.ANT. LUPCLA REV2;H.27
9;CACLC-003;CHICOTE DE LIGACAO E CONTROLE NOBREAK REV1;H.27
10;CADVSE-001;SENSOR ENCODER ROTATIVO INCREMENTAL PARA MICROTOMO MOLEX 3 VIAS REV1;H.27
11;CAIDW-001;PLACA CONEXAO DISPLAY DWIN/PROCULUS COM MOLEX 4 VIAS - C.ANT. LUPDSC;H.27
12;CAP001;CAPACITOR CERAMICO DISCO 100NF X 50V (100KPF);BC-02
13;CAP002;CAPACITOR CERAMICO DISCO 27PF X 50V 10%;OBSOL - A2
14;CAP003;CAPACITOR CERAMICO DISCO 33NF X 50V (33KPF);OBSOL - A2
15;CAP004;CAPACITOR CERAMICO DISCO 4,7PF X 50V 10%;OBSOL - A2
16;CAP005;CAPACITOR ELETROLÍTICO 100UF25V;AF-01
17;CAP006;CAPACITOR ELETROLÍTICO 470UFX25;AF-01
18;CAP007;CAPACITOR POLIESTER 1UF X 63V (EPCOS 1MFX63V B32529);OBSOL - A2
19;CAP008;CAPACITOR POLIESTER 220NF X 63V (EPCOS 220KX63V B32529);OBSOL - A2
20;CAP009;CAPACITOR POLIESTER 56NF X 63V (EPCOS 56KX63V B32529);OBSOL - A2
21;CAP010;CAPACITOR ELETROLITICO 10UFX25V;BC-02
22;CAP012;CAPACITOR CERAMICO DISCO 22PF X 50V;BC-02
23;CAP013;CAPACITOR ELETROLITICO 1UFX100V;AF-01
24;CAP014;CAPACITOR ELETROLITICO RADIAL 220UF X 35V;OBSOL - A2
25;CAP015;CAPACITOR POLIESTER 470NF X 400V;OBSOL - A2
26;CAP016;CAPACITOR TANTALO 1UFX35V;BC-02 / OBSOL - A2
27;CAP017;CAPACITOR TANTALO GOTA 10UF X 25 V;OBSOL - A2
28;CAP018;CAPACITOR CERAMICO DISCO 10NF X 50V 10%;BC-02
29;CAP019;CAPACITOR ELETROLITICO RADIAL 2200UF X 25V;OBSOL - A2
30;CAP020;CAPACITOR CERAMICO DISCO 10PF X 50V 10%;OBSOL - A2
31;CAP021;CAPACITOR CERAMICO DISCO 220NF X 50V 10%;OBSOL - A2
32;CAP022;CAPACITOR CERAMICO DISCO 22NF X 50V 10%;OBSOL - A2
33;CAP023;CAPACITOR ELETROLITICO RADIAL 10.000UF X 50V;OBSOL - A2
34;CAP024;CAPACITOR ELETROLITICO RADIAL 10UF X 160V;OBSOL - A2
35;CAP025;CAPACITOR ELETROLITICO 10NFX50V;BC-02
36;CAP026;CAPACITOR ELETROLITICO RADIAL 2200UF X 35V;OBSOL - A2
37;CAP027;CAPACITOR ELETROLITICO RADIAL 2200UF X 50V;OBSOL - A2
38;CAP028;CAPACITOR ELETROLITICO RADIAL 4700UF X 50V;OBSOL - A2
39;CAP029;CAPACITOR POLIESTER 100NF X 100V;OBSOL - A2
40;CAP030;CAPACITOR POLIESTER 100NF250V;BC-02
41;CAP031;CAPACITOR POLIESTER 100NF X 400V;OBSOL - A2
42;CAP032;CAPACITOR POLIESTER 10NF X 250V;OBSOL - A2
43;CAP033;CAPACITOR POLIESTER 10NF X 400V;OBSOL - A2
44;CAP034;CAPACITOR POLIESTER 1UF X 630V (EPCOS B32232K);OBSOL - A2
45;CAP035;CAPACITOR POLIESTER 220NF X 250V;OBSOL - A2
46;CAP037;CAPACITOR POLIESTER 330NF X 400V;OBSOL - A2
47;CAP038;CAPACITOR POLIESTER 470NF X 100V;OBSOL - A2
48;CAP043;CAPACITOR POLIPROP.MET. 1NF X 100V FIO;OBSOL - A2
49;CAP044;CAPACITOR POLIPROP.MET. 1NF X 63V FIO;OBSOL - A2
50;CAP045;CAPACITOR POLIPROP.MET. 22NF X 1600V EPCOS;OBSOL - A2
51;CAP046;CAPACITOR POLIPROP.MET. 4,7NF X 250V;OBSOL - A2
52;CAP048;CAPACITOR CERAMICO DISCO 12PF X 50V;OBSOL - A2
53;CAP049;CAPACITOR ELETROLITICO RADIAL 47UF X 16V;BC-02/ OBSOL - A2
54;CAP054;CAPACITOR ELETROLITICO 470UFX35V;BC-02
55;CAP055;CAPACITOR POLIESTER 470NFX250V;AF-01
56;CAP056;CAPACITOR CERAMICO SMD;SALA SMD
57;CAP057;CAPACITOR CERAMICO SMD;SALA SMD
58;CAP058;CAPACITOR CERAMICO SMD;SALA SMD
59;CAP059;CAPACITOR CERÂMICO SMD;SALA SMD
60;CAP060;CAPACITOR CERAMICO SMD;SALA SMD
61;CAP061;CAPACITOR CERÂMICO SMD;SALA SMD
62;CAP062;CAPACITOR CERÂMICO SMD;SALA SMD
63;CAP064;CAPACITOR POLIESTER 680NF X 250V;OBSOL - A2
64;CAP065;CAPACITOR POLIESTER 22NF X 63V (EPCOS 22KX63V B32529);OBSOL - A2
65;CAP067;CAPACITOR CERAMICO SMD;SALA SMD
66;CAP068;CAPACITOR CERAMICO SMD 0805 22PF50V;SALA SMD
67;CAP069;CAPACITOR POLIESTER 47NF X 1K6V;OBSOL - A2
